종목코드,종목명,종가,대비,등락률,EPS,PER,선행 EPS,선행 PER,BPS,PBR,주당배당금,배당수익률,기준일
060310,3S,2165,140,6.91,54.0,40.09,,,998.0,2.17,0,0.0,20241023
095570,AJ네트웍스,4795,-65,-1.34,367.0,13.07,778.0,6.16,9326.0,0.51,270,5.63,20241023
006840,AK홀딩스,12980,250,1.96,2635.0,4.93,,,44339.0,0.29,200,1.54,20241023
054620,APS,6200,200,3.33,667.0,9.3,,,11683.0,0.53,0,0.0,20241023
265520,AP시스템,17890,310,1.76,3997.0,4.48,,,21396.0,0.84,270,1.51,20241023
211270,AP위성,10430,80,0.77,739.0,14.11,,,6680.0,1.56,70,0.67,20241023
109960,AP헬스케어,548,-12,-2.14,80.0,6.85,,,2518.0,0.22,0,0.0,20241023
139050,BF랩스,2805,0,0.0,11.0,255.0,,,5250.0,0.53,0,0.0,20241023
027410,BGF,3620,25,0.7,813.0,4.45,656.0,5.51,17286.0,0.21,120,3.31,20241023
282330,BGF리테일,114900,700,0.61,11337.0,10.13,11967.0,9.6,62197.0,1.85,4100,3.57,20241023
126600,BGF에코머티리얼즈,3430,-20,-0.58,,,,,6471.0,0.53,70,2.04,20241023
138930,BNK금융지주,9480,-160,-1.66,1905.0,4.98,2637.0,3.6,31746.0,0.3,510,5.38,20241023
001460,BYC,32900,550,1.7,2836.0,11.6,,,64090.0,0.51,300,0.91,20241023
001465,BYC우,13120,50,0.38,,,,,,,305,2.32,20241023
013720,CBI,1090,-4,-0.37,,,,,1093.0,1.0,0,0.0,20241023
083790,CG인바이츠,2440,40,1.67,,,,,1587.0,1.54,0,0.0,20241023
001040,CJ,105100,-2200,-2.05,5806.0,18.1,12650.0,8.31,164443.0,0.64,3000,2.85,20241023
079160,CJ CGV,5570,-10,-0.18,,,124.0,44.81,3441.0,1.62,0,0.0,20241023
035760,CJ ENM,62400,600,0.97,,,3160.0,19.75,156237.0,0.4,0,0.0,20241023
311690,CJ 바이오사이언스,11680,0,0.0,,,,,7846.0,1.49,0,0.0,20241023
00104K,CJ4우(전환),80300,-500,-0.62,,,,,,,3050,3.8,20241023
